recurso,origen,pagina_fuente,nota
01-marca/*,Web MateArte,https://matearte.uy/,Logos observados en cabecera y pie
02-banners-y-categorias/*,Web MateArte,https://matearte.uy/,Banners y tarjetas de categorías
03-productos-web/*,Catálogo Shopify público,https://matearte.uy/products.json?limit=250,Mejor imagen disponible por producto más sesión de Mate Imperial
04-instagram/seleccion-hd/01-matera-camel-escaleras.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/Db5pAkWHO6_/,Matera cuadrada camel
04-instagram/seleccion-hd/02-set-premium.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/DbjbTgzJUCZ/,Combo de productos MateArte
04-instagram/seleccion-hd/03-mate-personalizado.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/Da6WDkEHOk6/,Personalización
04-instagram/seleccion-hd/04-accesorio-cuero.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/Dabft3InOke/,Selección para regalo
04-instagram/seleccion-hd/05-cuchillo-y-tabla.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/DaQeCKVpCHh/,Tradición y asado
04-instagram/seleccion-hd/06-box-matero.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/DaMPa9ZHKwf/,Box matero
04-instagram/seleccion-hd/07-cuchillo-regalo.jpg,Instagram,https://www.instagram.com/matearteuruguay/p/DaMJmNTHHx4/,Box asador
04-instagram/feed-preview/*,Instagram,https://www.instagram.com/matearteuruguay/,Primeras 12 publicaciones públicas visibles al recopilar
04-instagram/destacados/01-josema-gimenez-con-mate.jpg,Instagram,https://www.instagram.com/stories/highlights/17844429814328325/,Destacado Josema
04-instagram/destacados/02-escudos-auf-atletico-madrid.jpg,Instagram,https://www.instagram.com/stories/highlights/17844429814328325/,Destacado Josema
04-instagram/destacados/03-personalizado-avion.jpg,Instagram,https://www.instagram.com/stories/highlights/17924250908893121/,Destacado personalizados
04-instagram/destacados/04-personalizado-omnibus.jpg,Instagram,https://www.instagram.com/stories/highlights/17924250908893121/,Destacado personalizados
04-instagram/destacados/05-lifestyle-perro-uruguayo.webp,Instagram,https://www.instagram.com/stories/highlights/18090434782290445/,Destacado ustedes
04-instagram/destacados/06-local-paysandu.jpg,Instagram,https://www.instagram.com/stories/highlights/17847864216659578/,Destacado local
